activo,mes,media_diaria,volatilidad_diaria,media_anualizada,volatilidad_anualizada,precio_cierre_anchor
S,Nov,0.00016442426793705778,0.02366374908266575,0.04143491552013856,0.3756503709609985,26.11
S,Dic,-0.004617576719275283,0.04212272164074325,-1.1636293332573715,0.6686774760396316,24.21
TSLA,Ene,-0.013544721152587869,0.019386783198633496,-3.413269730452143,0.30775564239065734,219.91
TSLA,Feb,-0.0034584791478394295,0.03710954572349089,-0.8715367452555363,0.5890957755056244,200.45
TSLA,Mar,-0.010166190290904088,0.02698610134689774,-2.5618799533078302,0.4283910781144597,163.57
TSLA,Abr,-0.0038696798340290186,0.028356552224110043,-0.9751593181753127,0.4501463113452641,161.48
TSLA,May,0.004859601397100859,0.04841849384169719,1.2246195520694165,0.768619761368659,173.99
TSLA,Jun,0.0008984229247114061,0.025803290011091867,0.22640257702727434,0.40961453025975697,178.01
TSLA,Jul,0.016583708683766178,0.039257179242586905,4.179094588309077,0.6231884006986317,252.64
TSLA,Ago,-0.007086325657455224,0.048517967927789195,-1.7857540656787165,0.7701988635308281,214.14
TSLA,Sep,0.0009507898630336286,0.03629015588593717,0.2395990454844744,0.5760883650837398,226.78
TSLA,Oct,-0.0015385379172594732,0.034317063905830975,-0.38771155514938727,0.5447665009244379,219.57
TSLA,Nov,0.01775731563264362,0.06309544359963994,4.4748435394261925,1.001609115755696,320.72
TSLA,Dic,0.016449336749188997,0.02913256473929211,4.145232860795628,0.462465128121937,463.02
