Date,4 WEEKS COUPON EQUIVALENT,8 WEEKS COUPON EQUIVALENT,13 WEEKS COUPON EQUIVALENT,17 WEEKS COUPON EQUIVALENT,26 WEEKS COUPON EQUIVALENT,52 WEEKS COUPON EQUIVALENT
2024-11-05,4.62,4.61,4.54,4.51,4.42,4.27
2024-11-06,4.58,4.6,4.55,4.53,4.45,4.31
2024-11-07,4.59,4.58,4.54,4.52,4.43,4.29
2024-11-08,4.59,4.58,4.54,4.53,4.45,4.32
2024-11-12,4.6,4.59,4.54,4.55,4.48,4.38
2024-11-13,4.59,4.57,4.51,4.5,4.44,4.31
2024-11-14,4.6,4.57,4.52,4.53,4.47,4.36
2024-11-15,4.6,4.56,4.52,4.52,4.48,4.34
2024-11-18,4.6,4.54,4.53,4.53,4.47,4.34
2024-11-19,4.57,4.52,4.52,4.52,4.48,4.35
2024-11-20,4.58,4.52,4.53,4.51,4.48,4.37
2024-11-21,4.62,4.56,4.54,4.52,4.49,4.39
2024-11-22,4.61,4.56,4.54,4.53,4.5,4.41
2024-11-25,4.64,4.56,4.53,4.53,4.5,4.39
2024-11-26,4.64,4.56,4.51,4.53,4.48,4.37
2024-11-27,4.63,4.58,4.51,4.52,4.47,4.33
2024-11-29,4.63,4.57,4.5,4.5,4.45,4.3
2024-12-02,4.63,4.54,4.49,4.49,4.45,4.3
2024-12-03,4.55,4.47,4.47,4.45,4.41,4.27
2024-12-04,4.54,4.45,4.46,4.43,4.39,4.22
2024-12-05,4.47,4.43,4.45,4.43,4.39,4.23
2024-12-06,4.45,4.41,4.42,4.4,4.35,4.19
2024-12-09,4.45,4.41,4.41,4.4,4.35,4.2
2024-12-10,4.41,4.39,4.4,4.4,4.36,4.22
2024-12-11,4.37,4.37,4.37,4.36,4.33,4.21
2024-12-12,4.31,4.34,4.33,4.34,4.32,4.22
2024-12-13,4.31,4.34,4.33,4.34,4.33,4.24
2024-12-16,4.31,4.35,4.36,4.34,4.31,4.24
2024-12-17,4.34,4.36,4.37,4.34,4.32,4.25
2024-12-18,4.32,4.35,4.36,4.34,4.32,4.29
2024-12-19,4.3,4.32,4.33,4.33,4.3,4.27
2024-12-20,4.31,4.33,4.33,4.33,4.3,4.26
2024-12-23,4.32,4.36,4.35,4.35,4.31,4.26
2024-12-24,4.32,4.35,4.39,4.36,4.32,4.24
2024-12-26,4.33,4.36,4.34,4.35,4.33,4.24
2024-12-27,4.32,4.34,4.29,4.33,4.31,4.2
2024-12-30,4.32,4.33,4.34,4.31,4.29,4.17
2024-12-31,4.29,4.29,4.34,4.31,4.28,4.16
