Date,Open,High,Low,Close,Volume
07/23/2024,"23.30","24.62","23.22","24.43","13,574,000"
07/22/2024,"22.87","24.80","22.75","23.18","22,546,760"
07/19/2024,"22.45","22.49","20.77","21.72","15,846,350"
07/18/2024,"21.15","21.20","20.06","20.14","4,102,913"
07/17/2024,"21.43","21.59","20.85","21.10","5,161,642"
07/16/2024,"21.93","22.24","21.49","21.88","5,143,187"
07/15/2024,"20.96","21.84","20.56","21.72","8,558,818"
07/12/2024,"20.34","20.70","20.08","20.34","5,353,969"
07/11/2024,"20.38","20.73","20.03","20.23","5,868,558"
07/10/2024,"19.79","20.05","19.46","19.99","3,598,469"
07/09/2024,"20.42","20.54","19.45","19.76","4,198,666"
07/08/2024,"20.22","20.48","19.92","20.36","3,538,885"
07/05/2024,"20.00","20.40","19.90","20.35","3,091,449"
07/03/2024,"20.45","20.64","20.06","20.15","1,706,016"
07/02/2024,"20.31","20.63","20.17","20.46","2,656,051"
07/01/2024,"21.09","21.16","20.22","20.36","6,131,966"
06/28/2024,"20.84","21.28","20.71","21.05","7,794,034"
06/27/2024,"19.24","21.04","19.20","20.74","7,208,717"
06/26/2024,"18.76","19.24","18.56","19.17","2,935,413"
06/25/2024,"18.87","19.27","18.75","18.82","3,916,426"
06/24/2024,"18.23","18.85","18.15","18.79","3,856,753"
06/21/2024,"17.85","18.35","17.71","18.33","9,616,573"
06/20/2024,"18.14","18.25","17.80","17.96","3,142,350"
06/18/2024,"18.43","18.60","18.13","18.16","3,959,064"
06/17/2024,"18.38","18.58","17.91","18.43","3,417,177"
06/14/2024,"18.38","18.62","18.26","18.46","4,716,774"
06/13/2024,"18.19","18.44","17.97","18.41","4,090,215"
06/12/2024,"17.96","18.73","17.90","18.10","5,644,901"
06/11/2024,"17.60","17.74","17.26","17.48","4,507,793"
06/10/2024,"17.09","18.17","17.04","17.69","6,035,002"
06/07/2024,"17.21","17.38","17.07","17.18","3,340,959"
06/06/2024,"17.25","17.47","16.92","17.24","6,217,940"
06/05/2024,"17.44","17.64","16.61","17.34","7,720,364"
06/04/2024,"17.54","17.73","17.13","17.21","6,236,619"
06/03/2024,"16.97","17.70","16.90","17.22","8,781,798"
05/31/2024,"14.77","17.18","14.33","16.83","29,085,980"
05/30/2024,"20.27","20.34","19.24","19.42","9,631,106"
05/29/2024,"20.50","21.01","20.33","20.72","5,383,701"
05/28/2024,"21.67","21.67","20.74","20.90","4,911,005"
05/24/2024,"21.71","22.03","21.51","21.62","2,608,035"
05/23/2024,"22.54","22.69","21.71","21.72","2,818,014"
05/22/2024,"22.60","22.76","22.09","22.19","2,025,630"
05/21/2024,"22.33","22.84","22.33","22.55","3,021,919"
05/20/2024,"21.97","22.74","21.89","22.67","3,059,108"
05/17/2024,"22.21","22.30","21.67","21.89","3,305,927"
05/16/2024,"22.23","22.53","22.16","22.17","2,925,255"
05/15/2024,"22.00","22.34","21.73","22.31","3,153,752"
05/14/2024,"21.65","22.07","21.36","21.59","3,991,182"
05/13/2024,"21.34","21.77","21.20","21.56","2,850,950"
05/10/2024,"21.38","21.42","20.95","21.11","2,498,277"
05/09/2024,"20.75","21.28","20.75","21.21","2,819,604"
05/08/2024,"21.06","21.44","20.69","20.96","4,177,086"
05/07/2024,"21.50","21.78","21.20","21.67","2,278,491"
05/06/2024,"21.21","21.76","21.21","21.69","2,611,685"
05/03/2024,"21.91","21.98","21.17","21.25","3,120,780"
05/02/2024,"21.55","21.64","21.07","21.50","3,170,659"
05/01/2024,"21.30","22.21","21.19","21.44","3,193,817"
04/30/2024,"21.42","21.70","21.11","21.13","2,694,442"
04/29/2024,"21.77","21.92","21.29","21.70","2,215,066"
04/26/2024,"21.50","21.78","21.39","21.56","1,988,678"
04/25/2024,"21.03","21.27","20.78","21.20","2,312,228"
04/24/2024,"21.49","21.73","21.21","21.57","3,276,459"
04/23/2024,"20.43","21.42","20.38","21.18","3,995,342"
04/22/2024,"20.50","20.63","19.99","20.47","3,348,890"
04/19/2024,"20.36","20.67","19.93","20.05","6,785,638"
04/18/2024,"20.75","21.01","20.54","20.61","2,991,893"
04/17/2024,"21.02","21.27","20.63","20.63","2,625,732"
04/16/2024,"20.67","20.93","20.28","20.89","3,922,131"
04/15/2024,"21.70","21.75","20.51","20.67","6,136,637"
04/12/2024,"22.14","22.23","21.52","21.72","3,227,143"
04/11/2024,"22.33","22.60","21.97","22.49","2,888,427"
04/10/2024,"21.71","22.37","21.64","22.15","3,427,551"
04/09/2024,"23.00","23.11","22.30","22.42","3,915,871"
04/08/2024,"22.90","22.95","22.54","22.91","4,280,442"
04/05/2024,"21.90","22.73","21.90","22.60","5,581,526"
04/04/2024,"22.60","23.01","21.72","21.86","3,950,004"
04/03/2024,"22.35","22.54","22.09","22.35","4,317,879"
04/02/2024,"22.42","22.63","22.13","22.55","3,739,851"
04/01/2024,"23.33","23.35","22.58","23.01","3,917,137"
03/28/2024,"22.72","23.45","22.63","23.31","5,173,233"
03/27/2024,"22.49","22.69","22.05","22.68","4,279,089"
03/26/2024,"22.63","22.86","22.21","22.22","4,932,579"
03/25/2024,"22.78","23.02","22.47","22.48","3,663,843"
03/22/2024,"23.27","23.29","22.60","22.78","4,331,490"
03/21/2024,"23.66","23.99","23.22","23.37","6,933,693"
03/20/2024,"22.92","23.45","22.73","23.31","4,453,080"
03/19/2024,"22.75","23.01","22.39","22.85","6,030,202"
03/18/2024,"22.40","23.39","22.22","23.16","8,947,156"
03/15/2024,"23.14","23.18","21.82","22.09","21,151,510"
03/14/2024,"24.40","25.15","22.80","23.29","27,654,900"
03/13/2024,"27.30","28.28","27.09","27.94","13,653,450"
03/12/2024,"27.17","27.99","26.79","27.95","7,745,512"
03/11/2024,"26.82","27.20","26.49","26.97","5,057,515"
03/08/2024,"27.60","28.31","27.20","27.45","6,132,286"
03/07/2024,"26.80","27.30","26.35","27.14","3,456,382"
03/06/2024,"27.44","28.87","26.52","26.76","8,069,898"
03/05/2024,"26.60","26.60","25.03","25.50","7,532,596"
03/04/2024,"28.06","28.16","27.02","27.08","3,725,010"
03/01/2024,"28.25","28.27","27.19","27.90","4,367,277"
02/29/2024,"28.66","29.17","27.88","28.17","4,890,626"
02/28/2024,"28.36","28.97","28.03","28.22","5,363,900"
02/27/2024,"28.25","28.71","28.11","28.50","2,634,800"
02/26/2024,"27.25","28.25","27.01","28.02","3,887,622"
02/23/2024,"26.67","27.48","26.56","27.22","4,257,777"
02/22/2024,"26.64","26.88","25.97","26.35","4,741,726"
02/21/2024,"26.00","27.05","25.34","25.60","10,882,660"
02/20/2024,"29.22","29.49","28.60","29.15","4,309,292"
02/16/2024,"29.79","30.02","29.06","29.52","4,225,711"
02/15/2024,"30.30","30.36","29.73","30.00","4,310,938"
02/14/2024,"30.06","30.76","29.65","30.00","7,190,268"
02/13/2024,"28.00","29.47","26.78","28.99","7,025,274"
02/12/2024,"29.53","30.32","29.31","29.70","5,581,759"
02/09/2024,"30.00","30.22","29.48","29.70","6,104,151"
02/08/2024,"28.14","29.30","28.12","29.04","4,833,967"
02/07/2024,"28.20","28.80","28.02","28.24","6,416,061"
02/06/2024,"27.60","27.80","26.53","27.46","4,123,417"
02/05/2024,"27.26","27.77","26.62","27.56","3,573,018"
02/02/2024,"27.33","28.30","27.04","27.55","6,206,582"
02/01/2024,"27.12","27.58","26.41","27.49","4,334,774"
01/31/2024,"27.26","27.69","26.71","26.80","4,667,876"
01/30/2024,"28.50","28.63","27.13","27.62","6,223,163"
01/29/2024,"28.04","28.31","26.93","28.18","7,978,689"
01/26/2024,"25.67","26.52","25.56","26.34","3,207,216"
01/25/2024,"26.22","26.40","25.42","25.76","2,881,010"
01/24/2024,"26.83","27.05","25.69","25.86","4,515,577"
01/23/2024,"26.55","27.21","26.30","26.55","4,849,474"
01/22/2024,"27.15","27.64","25.76","26.29","8,687,946"
01/19/2024,"24.89","25.07","24.33","24.84","4,860,076"
01/18/2024,"25.22","25.39","24.44","24.72","4,298,981"
01/17/2024,"24.35","24.56","23.38","24.53","3,974,261"
01/16/2024,"25.00","25.31","24.64","24.80","4,963,048"
01/12/2024,"24.26","25.56","24.20","25.33","8,262,867"
01/11/2024,"24.53","24.85","24.16","24.30","5,617,868"
01/10/2024,"24.29","24.79","24.11","24.53","8,708,124"
01/09/2024,"23.00","24.18","22.82","24.16","10,417,450"
01/08/2024,"23.70","24.10","23.40","23.46","5,390,402"
01/05/2024,"23.25","23.82","23.18","23.67","5,891,050"
01/04/2024,"23.79","24.14","23.38","23.50","7,272,899"
01/03/2024,"25.10","25.32","23.80","23.81","9,488,298"
01/02/2024,"26.51","26.55","25.08","25.87","7,183,717"
