Date,Open,High,Low,Close,Volume
07/10/2024,"131.97","134.50","129.60","130.57","6,387,290"
07/09/2024,"131.39","132.00","127.81","130.18","8,968,510"
07/08/2024,"131.45","132.50","125.88","129.06","8,736,390"
07/05/2024,"121.55","129.92","120.23","128.17","15,029,080"
07/03/2024,"129.80","132.80","127.35","130.21","6,659,400"
07/02/2024,"136.55","138.44","130.66","132.02","9,229,110"
07/01/2024,"141.00","143.60","136.31","136.60","14,129,320"
06/28/2024,"151.64","151.90","136.70","137.75","34,113,490"
06/27/2024,"148.50","153.90","146.35","152.54","9,307,670"
06/26/2024,"147.23","150.50","144.50","145.77","7,501,750"
06/25/2024,"141.38","149.90","139.34","149.57","13,627,970"
06/24/2024,"139.80","144.89","132.55","137.22","16,080,740"
06/21/2024,"142.00","149.11","140.90","148.38","11,494,630"
06/20/2024,"148.21","150.56","142.21","146.54","9,097,600"
06/18/2024,"145.79","151.10","144.60","146.94","8,933,680"
06/17/2024,"149.98","156.90","142.12","150.73","12,076,360"
06/14/2024,"150.50","153.80","146.15","149.55","13,790,090"
06/13/2024,"156.33","157.38","144.10","148.39","21,107,660"
06/12/2024,"162.00","169.27","159.18","160.37","13,681,250"
06/11/2024,"154.20","156.42","148.66","155.55","11,411,820"
06/10/2024,"157.50","164.78","156.03","159.99","7,264,600"
06/07/2024,"167.10","171.77","158.50","159.62","12,626,880"
06/06/2024,"169.86","173.47","164.71","165.66","11,622,910"
06/05/2024,"167.50","171.78","163.62","169.47","10,955,850"
06/04/2024,"161.74","169.70","161.50","163.88","13,229,510"
06/03/2024,"160.10","165.60","156.04","162.74","11,222,360"
05/31/2024,"159.70","161.48","144.20","152.45","22,153,560"
05/30/2024,"165.30","171.50","153.20","154.10","14,776,450"
05/29/2024,"165.00","165.91","161.12","161.87","7,344,250"
05/28/2024,"165.00","169.16","161.00","167.54","10,799,360"
05/24/2024,"154.00","168.50","152.80","168.48","12,068,560"
05/23/2024,"166.92","167.00","153.03","154.41","11,588,110"
05/22/2024,"166.30","171.80","162.02","164.70","10,339,300"
05/21/2024,"173.00","174.00","164.50","165.54","12,977,510"
05/20/2024,"159.70","172.90","155.14","172.72","16,716,970"
05/17/2024,"150.10","158.50","146.90","158.45","16,529,320"
05/16/2024,"149.41","151.89","143.55","144.00","13,655,550"
05/15/2024,"137.96","152.03","135.11","150.35","20,586,430"
05/14/2024,"122.65","129.87","122.65","129.76","9,267,860"
05/13/2024,"121.79","126.42","120.30","124.60","8,757,250"
05/10/2024,"129.00","130.20","117.85","118.05","14,038,440"
05/09/2024,"123.00","130.30","120.10","126.36","10,533,700"
05/08/2024,"119.84","125.99","119.00","123.31","8,590,160"
05/07/2024,"127.82","131.90","125.13","125.75","9,967,680"
05/06/2024,"127.39","133.90","126.01","126.88","13,870,320"
05/03/2024,"120.10","124.20","117.28","122.30","15,609,620"
05/02/2024,"105.50","114.23","104.18","112.94","15,402,250"
05/01/2024,"101.55","110.93","101.00","102.83","19,248,840"
04/30/2024,"119.90","121.54","106.32","106.50","24,936,030"
04/29/2024,"125.00","130.84","122.84","129.30","10,130,730"
04/26/2024,"122.50","128.60","120.40","128.24","8,814,620"
04/25/2024,"122.60","126.77","120.11","124.04","7,734,030"
04/24/2024,"132.70","134.50","126.00","126.57","9,511,860"
04/23/2024,"131.10","139.45","129.89","133.86","10,478,460"
04/22/2024,"120.90","134.79","120.80","132.40","19,410,690"
04/19/2024,"123.70","125.87","116.62","117.41","14,746,540"
04/18/2024,"119.20","128.79","116.84","120.82","17,696,710"
04/17/2024,"125.80","126.42","113.20","118.81","20,373,970"
04/16/2024,"130.60","132.85","121.52","125.40","17,292,290"
04/15/2024,"147.00","149.00","132.11","133.59","16,125,420"
04/12/2024,"153.50","153.78","143.30","147.96","12,905,640"
04/11/2024,"154.30","157.84","151.01","155.18","14,385,910"
04/10/2024,"138.75","156.60","137.38","156.60","19,391,880"
04/09/2024,"147.81","148.02","137.50","144.10","16,716,660"
04/08/2024,"160.21","162.38","149.12","151.30","20,573,630"
04/05/2024,"157.00","167.43","143.20","143.90","22,739,950"
04/04/2024,"169.30","173.97","161.01","161.54","20,171,340"
04/03/2024,"158.00","169.95","156.83","160.61","19,772,450"
04/02/2024,"149.20","159.23","146.29","157.88","18,545,840"
04/01/2024,"164.50","169.02","158.66","163.67","19,929,540"
03/28/2024,"194.30","198.90","164.55","170.46","45,559,140"
03/27/2024,"195.30","200.00","184.20","191.92","26,226,090"
03/26/2024,"188.24","190.95","179.20","187.70","23,938,900"
03/25/2024,"160.50","187.37","159.44","185.60","38,840,270"
03/22/2024,"152.00","159.45","149.00","152.30","20,836,180"
03/21/2024,"159.41","170.44","158.10","159.93","31,589,810"
03/20/2024,"142.30","155.00","136.30","154.65","33,314,320"
03/19/2024,"132.61","145.00","123.01","141.75","44,644,130"
03/18/2024,"171.85","173.49","144.50","150.28","45,111,200"
