Date,Open,High,Low,Close,Volume
09/20/2024,"36.01","37.29","35.71","37.20","450,290,500"
09/19/2024,"37.00","37.35","36.20","36.83","59,882,039"
09/18/2024,"35.90","37.11","35.87","36.38","66,279,766"
09/17/2024,"37.00","37.05","35.87","36.45","64,461,754"
09/16/2024,"35.78","36.92","35.56","36.31","74,767,328"
09/13/2024,"34.97","36.01","34.89","35.59","49,727,168"
09/12/2024,"34.86","35.40","34.53","34.91","54,391,840"
09/11/2024,"34.01","34.87","33.62","34.85","68,302,250"
09/10/2024,"34.81","35.20","33.71","34.76","91,720,992"
09/09/2024,"32.70","34.70","32.47","34.60","140,582,500"
09/06/2024,"30.60","31.04","29.50","30.33","50,946,781"
09/05/2024,"30.24","30.74","30.01","30.16","24,012,330"
09/04/2024,"30.00","30.85","29.31","30.59","33,419,488"
09/03/2024,"31.35","31.59","30.17","30.51","34,489,900"
08/30/2024,"31.05","31.50","30.70","31.48","42,388,020"
08/29/2024,"30.65","31.82","30.48","31.00","39,732,992"
08/28/2024,"30.62","30.80","29.75","30.36","33,961,367"
08/27/2024,"30.55","31.12","30.38","30.84","23,541,260"
08/26/2024,"31.43","31.74","30.79","30.85","35,283,633"
08/23/2024,"31.99","32.55","31.62","31.78","34,121,180"
08/22/2024,"32.55","33.13","31.85","31.92","43,522,219"
08/21/2024,"32.32","32.67","31.97","32.54","38,147,559"
08/20/2024,"32.50","32.72","31.63","32.32","40,783,008"
08/19/2024,"32.42","32.59","31.81","32.50","52,353,641"
08/16/2024,"31.04","32.75","30.98","32.08","64,870,641"
08/15/2024,"31.31","31.50","30.83","31.22","43,407,609"
08/14/2024,"30.62","31.37","30.33","31.00","49,885,641"
08/13/2024,"29.79","30.85","29.56","30.39","57,294,207"
08/12/2024,"30.22","31.20","29.27","29.38","67,890,320"
08/09/2024,"29.28","30.36","29.10","30.01","88,131,109"
08/08/2024,"27.04","29.38","26.69","29.28","96,892,922"
08/07/2024,"27.07","28.36","26.24","26.32","75,975,375"
08/06/2024,"27.05","27.42","25.57","26.59","99,622,680"
08/05/2024,"21.74","24.42","21.23","24.09","88,023,469"
08/02/2024,"24.75","24.87","23.75","24.74","56,092,594"
08/01/2024,"27.02","27.54","25.83","26.08","31,189,609"
07/31/2024,"27.02","27.39","26.88","26.89","29,111,609"
07/30/2024,"27.25","27.44","25.89","26.37","31,819,910"
07/29/2024,"27.56","27.80","26.73","27.08","26,038,840"
07/26/2024,"27.00","27.34","26.77","27.18","27,432,221"
07/25/2024,"26.04","27.29","25.42","26.63","45,474,609"
07/24/2024,"28.44","28.69","26.58","26.60","49,004,113"
07/23/2024,"28.34","29.19","28.31","28.81","31,134,260"
